ITER	RESIDUUM	ALFA	BETA
185	0.264949	0.16957	0.679299
186	0.270869	0.166965	1.04518
187	0.309445	0.220561	1.30511
188	0.25971	0.145695	0.704384
189	0.631495	0.0954686	5.91239
190	0.310807	0.0248649	0.242238
191	0.256112	0.1498	0.679014
192	0.289418	0.187966	1.277
193	0.27263	0.20244	0.887356
194	0.277909	0.162141	1.0391
195	0.615494	0.0748719	4.90504
196	0.287659	0.0284189	0.218429
197	0.2542	0.148317	0.780895
198	0.281641	0.213081	1.22756
199	0.252264	0.169214	0.802269
200	0.228523	0.147278	0.820635
201	0.245751	0.221381	1.15646
202	0.405048	0.0945387	2.71658
203	0.179674	0.0141868	0.196769
204	0.174142	0.17075	0.939374
205	0.110181	0.133117	0.400317
206	0.0961415	0.144632	0.761397
207	0.0967206	0.15343	1.01208
208	0.0924984	0.018949	0.914598
209	0.0480481	0.0625791	0.269826
210	0.045554	0.17163	0.898878
211	0.0385005	0.155285	0.714297
212	0.0408618	0.173107	1.12643
213	0.091456	0.163298	5.00943
214	0.0444058	0.0146911	0.235751
215	0.0380268	0.135203	0.733332
216	0.0369728	0.181732	0.945335
217	0.0253522	0.139778	0.470183
218	0.026698	0.1719	1.10898
219	0.0555363	0.0861149	4.3271
220	0.0231331	0.0193199	0.173506
221	0.0271783	0.207221	1.38031
222	0.0280828	0.202113	1.06767
223	0.0234833	0.161998	0.699258
224	0.0204742	0.142597	0.760143
225	0.0428872	0.124119	4.38774
226	0.0175914	0.014971	0.168247
227	0.0190717	0.169958	1.17538
228	0.0221696	0.211071	1.35125
229	0.0185495	0.172877	0.700079
230	0.0192607	0.210995	1.07815
231	0.0347536	0.0623469	3.25578
232	0.0148772	0.0211204	0.183249
233	0.0143548	0.183727	0.931006
234	0.0179709	0.226466	1.56727
235	0.0174472	0.195015	0.942575
236	0.0166202	0.135309	0.907442
237	0.0317653	0.0541054	3.65285
238	0.0118818	0.0334932	0.139913
239	0.0128383	0.18122	1.16749
240	0.0152753	0.27116	1.41567
241	0.0135408	0.198056	0.7858
242	0.0148593	0.183892	1.20422
243	0.0255593	0.0638392	2.95872
244	0.0113688	0.0189279	0.197849
245	0.0112177	0.203113	0.973581
246	0.013536	0.363473	1.45604
247	0.0115799	0.137151	0.731859
248	0.0111827	0.229429	0.932574
249	0.021012	0.0500048	3.53056
250	0.0104211	0.0401775	0.245978
251	0.0106018	0.320002	1.03498
252	0.0103861	0.275503	0.959718
253	0.0118564	0.140537	1.30317
254	0.0193686	0.162863	2.66864
255	0.00990177	0.01287	0.261355
256	0.0101004	0.274698	1.04053
257	0.0107164	0.209821	1.1257
258	0.0100413	0.129032	0.877975
259	0.00986929	0.274075	0.966028
260	0.0169379	0.0394885	2.94541
261	0.0101906	0.0667928	0.36198
262	0.00935698	0.121535	0.843081
263	0.00893717	0.274008	0.912281
264	0.0111702	0.191326	1.56215
265	0.0147734	0.157516	1.74918
266	0.00884728	0.0132958	0.358642
267	0.0103622	0.146871	1.37178
268	0.00810332	0.213313	0.611537
269	0.0104408	0.200401	1.66013
270	0.00798636	0.161168	0.5851
271	0.0204423	0.104639	6.55184
272	0.00993384	0.024832	0.236142
273	0.00852413	0.140957	0.736319
274	0.00857022	0.213614	1.01084
275	0.00839361	0.147594	0.959211
276	0.0130378	0.261389	2.41275
277	0.0109236	0.0167864	0.70198
278	0.007868	0.0755665	0.518793
279	0.00869087	0.262064	1.22011
280	0.0078115	0.133692	0.807871
281	0.00937791	0.267312	1.44126
282	0.0158459	0.0811645	2.85509
283	0.00737514	0.0156538	0.216626
284	0.00912406	0.285795	1.53051
285	0.00713757	0.124471	0.611963
286	0.00850515	0.257061	1.41992
287	0.00890915	0.146231	1.09726
288	0.0120159	0.0279755	1.81904
289	0.00830803	0.0746703	0.478059
290	0.00733461	0.164972	0.779397
291	0.00793552	0.184951	1.17057
292	0.00769334	0.195682	0.939894
293	0.0134325	0.125522	3.0485
294	0.00826433	0.015089	0.378528
295	0.00755236	0.166864	0.835122
296	0.00754252	0.172169	0.997396
297	0.0074402	0.189076	0.973053
298	0.00745111	0.150462	1.00294
299	0.0125071	0.0386853	2.81755
300	0.00806658	0.0645141	0.415972
301	0.0064814	0.145661	0.645594
302	0.00680335	0.173768	1.10181
303	0.00654209	0.204195	0.92467
304	0.0105312	0.141628	2.59131
305	0.00737169	0.0153818	0.489985
306	0.00548741	0.132309	0.554116
307	0.00489696	0.138139	0.796375
308	0.00522134	0.239841	1.13687
309	0.0038177	0.124233	0.534613
310	0.00795035	0.147019	4.3368
311	0.00433579	0.0151129	0.297415
312	0.00347612	0.134037	0.642768
313	0.00395093	0.214713	1.29184
314	0.00365452	0.158762	0.855582
315	0.00460433	0.21693	1.58735
316	0.00948562	0.0626529	4.24422
317	0.00474394	0.0325974	0.250119
318	0.00508968	0.189255	1.15107
319	0.00510885	0.196918	1.00754
320	0.00455557	0.149843	0.795132
321	0.00570154	0.198661	1.56639
322	0.0072041	0.0263862	1.59652
323	0.00416075	0.0586028	0.333567
324	0.00463615	0.200123	1.24157
325	0.00442723	0.179252	0.911904
326	0.00525454	0.203617	1.40865
327	0.0106822	0.172544	4.1329
328	0.00546945	0.0139396	0.262157
329	0.00447835	0.120442	0.670423
330	0.0050019	0.226953	1.24748
331	0.00423268	0.158583	0.716081
332	0.00545539	0.188186	1.66119
333	0.00871215	0.0368337	2.55034
334	0.00498478	0.0555156	0.327372
335	0.00470169	0.168529	0.889646
336	0.00517221	0.205188	1.21016
337	0.00442932	0.159327	0.73337
338	0.00877362	0.144279	3.92358
339	0.0051822	0.0152013	0.348875
340	0.00455114	0.166218	0.771281
341	0.00477943	0.166678	1.10284
342	0.00494719	0.233192	1.07143
343	0.00429059	0.13396	0.752173
344	0.0103455	0.0863967	5.81387
345	0.00511713	0.0290215	0.244654
346	0.00437126	0.158696	0.729726
347	0.00452662	0.166345	1.07235
348	0.00467821	0.227031	1.0681
349	0.00622249	0.131046	1.76917
350	0.00532383	0.0170479	0.732013
351	0.00472629	0.160837	0.788122
352	0.0042342	0.138759	0.802603
353	0.00449548	0.225983	1.12722
354	0.00437624	0.168981	0.947656
355	0.00829621	0.0529404	3.59383
356	0.00489585	0.0361117	0.348254
357	0.00410191	0.16432	0.701969
358	0.00430098	0.193592	1.09942
359	0.00457004	0.174577	1.12903
360	0.00619401	0.167666	1.83698
361	0.00404843	0.0138528	0.427198
362	0.00494937	0.194498	1.4946
363	0.00377313	0.161096	0.581171
364	0.00440561	0.191622	1.36335
365	0.00425629	0.17212	0.933365
366	0.00841673	0.0708451	3.91042
367	0.00409775	0.0224477	0.23703
368	0.00350872	0.271414	0.733176
369	0.00422408	0.218322	1.44932
370	0.00377787	0.17733	0.799887
371	0.0083813	0.181455	4.92186
372	0.00419839	0.0142295	0.250925
373	0.0045125	0.154673	1.15523
374	0.00361803	0.143271	0.642848
375	0.00368558	0.186756	1.03769
376	0.00475102	0.274258	1.66174
377	0.00522379	0.0210029	1.20892
378	0.00352558	0.116688	0.455501
379	0.00333378	0.269102	0.894158
380	0.00340461	0.29943	1.04294
381	0.00584243	0.217939	2.94478
382	0.00656276	0.0237921	1.26179
383	0.00324457	0.0508018	0.244423
384	0.0033223	0.359281	1.04848
385	0.00406513	0.210757	1.49717
386	0.00381523	0.143478	0.880832
387	0.00875378	0.0806227	5.26441
388	0.00331434	0.0269769	0.143352
389	0.00394227	0.260903	1.41481
390	0.00353157	0.130067	0.802495
391	0.00355777	0.22899	1.0149
392	0.00584835	0.139087	2.70215
393	0.00457513	0.0166951	0.611983
394	0.00321047	0.12936	0.492416
395	0.004085	0.197515	1.619
396	0.00303588	0.171187	0.552312
397	0.00429357	0.246417	2.00017
398	0.00771381	0.0555508	3.22776
399	0.00303994	0.0248468	0.155307
400	0.00376135	0.287736	1.53093
401	0.00335641	0.136564	0.796276
402	0.00334569	0.238901	0.993622
403	0.00572483	0.127517	2.92788
404	0.00388818	0.0156729	0.461284
405	0.00335469	0.165635	0.744409
406	0.00340231	0.151809	1.0286
407	0.0030985	0.215463	0.829381
408	0.00355818	0.15767	1.31872
409	0.00661558	0.0486923	3.45685
410	0.00300752	0.0428893	0.206672
411	0.00289648	0.144688	0.927523
412	0.00261038	0.219927	0.812206
413	0.00251956	0.1429	0.931628
414	0.00394113	0.168793	2.44676
415	0.00224098	0.0133305	0.323322
416	0.00190071	0.134223	0.719379
417	0.00146934	0.144736	0.597602
418	0.00135464	0.161976	0.849962
419	0.00109873	0.159672	0.657864
420	0.00186059	0.132423	2.86761
421	0.00107218	0.0142873	0.332075
422	0.000989106	0.156032	0.851036
423	0.00101227	0.16781	1.04738
424	0.00128286	0.272237	1.60607
425	0.00155178	0.187706	1.4632
426	0.00422707	0.104144	7.42028
427	0.00248759	0.0322443	0.346321
428	0.00272756	0.206363	1.20224
429	0.00407435	0.285186	2.23135
430	0.00428012	0.205355	1.10356
431	0.00523723	0.152867	1.49724
432	0.00566514	0.0211903	1.17008
433	0.00375058	0.0992332	0.438304
434	0.00241347	0.11462	0.414083
435	0.00273675	0.20397	1.28584
436	0.00238994	0.13938	0.762616
437	0.00284851	0.0233349	1.42056
438	0.00257938	0.0956658	0.819968
439	0.00250213	0.199924	0.940994
440	0.00296937	0.186475	1.40835
441	0.00317116	0.218002	1.14053
442	0.00411964	0.0282289	1.68764
443	0.00228552	0.0450647	0.307789
444	0.00234215	0.211066	1.05017
445	0.00196974	0.142608	0.707277
446	0.00234104	0.20146	1.41254
447	0.00546453	0.0870916	5.44862
448	0.00242511	0.025266	0.196951
449	0.0026046	0.178034	1.1535
450	0.00229283	0.194082	0.774932
451	0.00192977	0.137108	0.708377
452	0.0041887	0.172597	4.7114
453	0.00241041	0.0150616	0.331149
454	0.0018522	0.127995	0.590463
455	0.0020941	0.194355	1.27826
456	0.0021432	0.214876	1.04745
