u0	dJds
0.05005	5.94517
0.05505	6.15181
0.06005	6.37627
0.06505	6.62053
0.07005	6.88686
0.07505	7.17788
0.08005	7.49663
0.08505	7.84668
0.09005	8.23218
0.09505	8.65798
0.10005	9.12966
0.10505	9.65361
0.11005	10.2372
0.11505	10.8887
0.12005	11.6174
0.12505	12.4336
0.13005	13.3476
0.13505	14.3699
0.14005	15.5095
0.14505	16.7703
0.15005	18.1456
0.15505	19.6124
0.16005	21.1292
0.16505	22.6399
0.17005	24.0913
0.17505	25.4787
0.18005	26.9072
